"latitude","longitude","count"
"28.2423","-80.7282","131"
"35.1402","-80.7413","60"
"41.2179","-80.7483","23"
"41.8790","-80.7533","12"
"32.1538","-80.7663","18"
"41.1013","-80.7766","26"
"35.0643","-80.7945","260"
"40.9032","-80.8276","3"
"36.2401","-80.8433","4"
"35.5023","-80.8488","4"
"35.1729","-80.8500","55"
"34.9989","-80.8527","115"
"35.3519","-80.8552","49"
"35.5876","-80.8574","136"
"40.0695","-80.8720","10"
"35.1084","-80.8747","149"
"35.4464","-80.8780","75"
"34.1312","-80.8803","75"
"37.6729","-80.8908","3"
"36.6817","-80.8940","7"
"32.2838","-80.9124","58"
"29.0095","-80.9198","41"
"35.1389","-80.9324","46"
"34.0664","-80.9657","6"
"34.9442","-80.9779","31"
"29.1051","-81.0315","66"
"34.0069","-81.0363","9"
"29.1961","-81.0730","271"
"34.0331","-81.0915","7"
"41.2875","-81.1005","2"
"36.9571","-81.1036","9"
"32.0109","-81.1061","5"
"35.2600","-81.1105","75"
"34.0685","-81.1571","85"
"34.0756","-81.1615","52"
"31.9865","-81.1720","55"
"36.1515","-81.1784","26"
"37.8030","-81.1801","229"
"28.5556","-81.2007","546"
"29.4830","-81.2037","196"
"33.9963","-81.2310","15"
"28.6630","-81.2344","245"
"41.1590","-81.2440","11"
"32.1367","-81.2494","96"
"32.1469","-81.2547","128"
"28.9419","-81.2555","229"
"28.2490","-81.2820","11"
"41.7155","-81.2965","44"
"35.6999","-81.3043","23"
"28.4639","-81.3050","723"
"28.6022","-81.3234","12"
"35.7333","-81.3403","1"
"28.5574","-81.3407","124"
"29.8616","-81.3417","114"
"28.7900","-81.3563","437"
"41.6585","-81.3575","68"
"41.1404","-81.3599","31"
"28.6020","-81.3640","522"
"28.6165","-81.3644","25"
"28.5408","-81.3785","104"
"28.6665","-81.3810","289"
"31.1840","-81.3818","47"
"28.6595","-81.3862","4"
"28.3837","-81.4023","90"
"28.3465","-81.4225","219"
"41.6305","-81.4242","81"
"40.8703","-81.4242","26"
"40.8714","-81.4360","93"
"41.5237","-81.4363","64"
"41.2106","-81.4385","69"
"28.4701","-81.4484","408"
"28.6744","-81.4564","67"
"41.0736","-81.4634","1"
